url,text,favicon_url
https://rectangle.design,"We write software, build tools, create archives + design interfaces. Outcomes encompass the physical and digital. Computation is central, but not always visible",https://rectangle.design/wp-content/themes/rectangle/favicon-32x32.png
https://rulesrulesrules.studio,RRR is a multi-disciplinary digital design and software development studio.,https://rulesrulesrules.studio/favicon.ico
https://bus.group,BUS is a Berlin-based design practice founded by Manuel Birnbacher and Daniel Schnitterbaum,https://bus.group/assets/favicon-4TLS4Q2E.png
https://rndr.studio,"RNDR designs and codes the future, by transforming data into information, information into knowledge, and knowledge into narratives.",https://www.datocms-assets.com/8504/1549364939-rndrlogo.jpg?auto=format&h=16&w=16
https://veravandeseyp.com,"Vera van de Seyp is a designer / creative coder working across disciplines on great things, based in the Netherlands.",https://veravandeseyp.com/site/templates//images/favicon.ico
http://www.fredericbrodbeck.de,Frederic Brodbeck is a digital designer and developer.,http://www.fredericbrodbeck.de/favicon.ico
http://nodeberlin.com,NODE is a Berlin and Oslo based design studio.,https://cdn.sanity.io/images/lrtvpz57/production/3d716c36bddc0d5a2fdf43379dec8315dd4109a5-320x320.svg?w=512&h=512&fm=png
https://www.onformative.com,"Interactive media installations, generative design and data-driven narratives, at the intersection of art, design and technology.",https://www.onformative.com/favicon.ico
https://studiomoniker.com,Moniker is an Amsterdam based interactive design studio by Luna Maurer &amp; Roel Wouters.,https://studiomoniker.com/assets/images/favico.png
http://waltzbinaire.com,studio for human motion in digital design,https://waltzbinaire.com/wp-content/uploads/2020/01/Favicon.png
https://klimaiteklimaite.com,Berlin based collaborative graphic design studio run by sisters Indrė &amp; Laura Klimaitė,https://klimaiteklimaite.com/favicon-32x32.png
https://martinwecke.de,Creative direction &amp; development. Specialized in creating web-based experiences and interactive design systems. Based in Berlin.,"data:image/x-icon;base64,AAABAAMAMDACAAEAAQAwAwAANgAAACAgAgABAAEAMAEAAGYDAAAQEAIAAQABALAAAACWBAAAKAAAADAAAABgAAAAAQABAAAAAACAAQAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAA////////AAD///////8AAP///////wAAKAAAACAAAABAAAAAAQABAAAAAACAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////ygAAAAQAAAAIAAAAAEAAQAAAAAAQAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD//wAA//8AAP//AAD//wAA//8AAP//AAD//wAA//8AAP//AAD//wAA//8AAP//AAD//wAA//8AAP//AAD//wAA"
http://rlon.com,rlon is a design and concept studio from Berlin. We create objects and develop narratives for curious spaces and curious minds.,https://rlon.com/wp-content/uploads/2016/11/cropped-rlon_favicon-150x150.png
http://hatebranding.com,We hate branding that hides behind the empty words. Good design speaks for itself.,
http://brockkenzler.com,"Personal projects by Brock Kenzler, an Australian digital designer.",
http://stephdavidson.com,"Graphic design, art direction, illustration and motion graphics",http://stephdavidson.com/favicon-32x32.png?v=b2e48ef35fb872490d3cf80f1adb6415
